mode,total_tasks,concurrency,io_ms,cpu_rounds,total_time_s,qps,avg_latency_ms,p95_latency_ms,p99_latency_ms,peak_memory_mb
thread,10000,100,10,100,1.055906443999902,9470.536008965704,10.296955537903342,10.618723999868962,15.06919499979631,43.59375
asyncio,10000,100,10,100,1.1791311289998703,8480.820965588384,10.871388945699346,11.305776999961381,11.640041000191559,37.01953125
thread,10000,500,10,100,0.5427394319999621,18425.04784137501,14.949525863202963,25.235778000023856,35.40250300011394,50.203125
asyncio,10000,500,10,100,0.25795939799991174,38765.79057609454,10.947153774700018,12.480429999868647,16.2102619997313,37.1640625
thread,10000,1000,10,100,0.6512611359999028,15354.823813717472,12.94111068190441,19.856812999933027,25.379531999988103,57.796875
asyncio,10000,1000,10,100,0.1648106679999728,60675.683930858475,11.82453142080044,18.584498999643984,19.02755699984482,37.20703125
thread,10000,2000,10,100,0.9618286280001485,10396.862506361638,12.078334303600924,18.73518200000035,24.048041999776615,73.23828125
asyncio,10000,2000,10,100,0.16398475999994844,60981.27655279152,18.922908944103302,30.789682999966317,35.731160000068485,38.1328125
thread,10000,3000,10,100,1.2195242230000076,8199.919125345605,10.917393029599408,14.735248999841133,19.607516000178293,89.0234375
asyncio,10000,3000,10,100,0.2089887090000957,47849.47496850378,31.784280925704117,50.969564000297396,59.47111799969207,38.41796875
thread,10000,100,50,100,5.039063929999884,1984.4955608650575,50.180781619401436,50.48476499996468,51.5574139999444,43.453125
asyncio,10000,100,50,100,5.140861268000208,1945.1993505924727,50.760164554199264,51.17107800015219,51.33221500000218,37.01953125
thread,10000,500,50,100,1.106541856000149,9037.16379617786,50.370266198400394,51.277502000175446,57.251285999882384,50.484375
asyncio,10000,500,50,100,1.0575096539996593,9456.17844922598,50.955035940101745,52.068623999730335,52.48127200002273,37.15234375
thread,10000,1000,50,100,0.7677245259997107,13025.505453246087,51.104333061696664,55.2044589999241,63.81861199997729,57.796875
asyncio,10000,1000,50,100,0.5523851729999478,18103.30995253007,51.16904874440324,52.19704499995714,52.94817300000432,37.2265625
thread,10000,2000,50,100,0.9643125279999367,10370.082011420945,57.674560998600235,90.98539199976585,131.5794739998637,73.828125
asyncio,10000,2000,50,100,0.30585629999995945,32695.09243393491,51.634495821703055,55.56969500003106,56.783674999678624,37.71875
thread,10000,3000,50,100,1.2568939480001973,7956.120733901752,52.60857281239896,70.02308500022991,85.75334999977713,90.0
asyncio,10000,3000,50,100,0.24193106900020211,41334.0876032406,52.67443085959735,59.52014100012093,62.256525000066176,38.00390625
thread,10000,100,100,100,10.034616158000063,996.5503256472382,100.13258272459898,100.35543399999369,100.75340599996707,43.59375
asyncio,10000,100,100,100,10.149087412999961,985.3102641712402,100.76764673149883,101.22228799991717,101.35931600007098,36.921875
thread,10000,500,100,100,2.1051811429997542,4750.18505331594,100.18760091329841,100.44899599961354,103.23349200007215,50.484375
asyncio,10000,500,100,100,2.063294591000158,4846.6176587767895,100.99659213989885,101.93039999967368,103.52839600000152,37.16015625
thread,10000,1000,100,100,1.2015583800002787,8322.525285868907,100.58574797249712,102.52166600002965,109.0894109997862,58.21875
asyncio,10000,1000,100,100,1.0531516020000709,9495.30910935207,101.11228068189997,102.38815100001375,104.63246800009074,37.3203125
thread,10000,2000,100,100,1.0790454159996443,9267.450518508385,101.25601953859965,105.164534999858,114.46986100008871,74.109375
asyncio,10000,2000,100,100,0.5595282750000479,17872.19779018164,101.78580732850273,108.71492899968871,110.02436700027829,37.58203125
thread,10000,3000,100,100,1.3270460029998503,7535.533792645113,102.33348732070154,114.79321399974651,135.4454839997743,89.390625
asyncio,10000,3000,100,100,0.45360629500009964,22045.549434003784,103.8285594141029,113.09507799978746,117.15140399974189,38.140625
